x;y
840;57
860;59.33333333
880;66
900;68.33333333
920;70.66666667
940;66.66666667
960;68
980;67.33333333
1000;76.33333333
1020;69.33333333
1040;71
1060;68.33333333
1080;72.66666667
1100;65.33333333
1120;67.33333333
1140;74.33333333
1160;67
1180;70
1200;66.33333333
1220;68
1240;68
1260;61.66666667
1280;66
1300;64
1320;58.66666667
1340;63.66666667
1360;58
1380;62.33333333
1400;64
1420;63
1440;66.33333333
1460;77.33333333
1480;75.66666667
1500;88.66666667
1520;80
1540;89
1560;93
1580;94
1600;97.33333333
1620;100.3333333
1640;94
1660;110.6666667
1680;98
1700;111.3333333
1720;111.6666667
1740;107
1760;109.6666667
1780;105.6666667
1800;101.3333333
1820;96.33333333
1840;97.33333333
1860;92.66666667
1880;85.66666667
1900;85.33333333
1920;92.33333333
1940;80.33333333
1960;79.33333333
1980;76
2000;83.66666667
2020;70.33333333
2040;85.33333333
2060;73.66666667
2080;87.66666667
2100;80.66666667
2120;85
2140;97.66666667
2160;97.66666667
2180;108.6666667
2200;112
2220;117.6666667
2240;119.6666667
2260;119
2280;137.3333333
2300;135.3333333
2320;139.6666667
2340;141.6666667
2360;144.6666667
2380;152
2400;151.3333333
2420;145
2440;141.6666667
2460;147.3333333
2480;135.6666667
2500;139.3333333
2520;128
2540;130.3333333
2560;112.6666667
2580;105.6666667
2600;103.6666667
2620;104.6666667
2640;102.3333333
2660;88.33333333
2680;96.33333333
2700;90.33333333
2720;84.33333333
2740;90
2760;98.66666667
2780;103.6666667
2800;106
2820;115.3333333
2840;113.6666667
2860;124
2880;128.6666667
2900;138.3333333
2920;142.3333333
2940;142.3333333
2960;159.3333333
2980;171.3333333
3000;184.3333333
3020;166.6666667
3040;175
3060;186.3333333
3080;179.6666667
3100;175
3120;176.6666667
3140;163.6666667
3160;167
3180;153.3333333
3200;148.3333333
3220;135.6666667
3240;135.6666667
3260;128.6666667
3280;115.3333333
3300;113.6666667
3320;110.6666667
3340;104.6666667
3360;102.3333333
3380;97.33333333
3400;90.66666667
3420;92.33333333
3440;94.66666667
3460;95.66666667
3480;107.3333333
3500;100.6666667
3520;115.6666667
3540;120.3333333
3560;132.3333333
3580;127
3600;147.3333333
3620;142.3333333
3640;158
3660;161.3333333
3680;168.6666667
3700;184.6666667
3720;181
3740;180
3760;181
3780;191.3333333
3800;184.3333333
3820;173.6666667
3840;177.3333333
3860;165.3333333
3880;159.3333333
3900;155
3920;134.3333333
3940;136.6666667
3960;125.3333333
3980;123.6666667
4000;110.3333333
4020;103.6666667
4040;101.6666667
4060;96.66666667
4080;91.66666667
4100;90
4120;84.66666667
4140;90.66666667
4160;95
4180;96
4200;101
4220;101
4240;116
4260;131.6666667
4280;123
4300;142
4320;146.3333333
4340;142.3333333
4360;145.6666667
4380;159.6666667
4400;154.6666667
4420;169.3333333
4440;160.3333333
4460;163.6666667
4480;154.3333333
4500;157.6666667
4520;157
4540;148.3333333
4560;137.3333333
4580;139
4600;133.6666667
4620;130.6666667
4640;114.6666667
4660;101.6666667
4680;104.6666667
4700;89.66666667
4720;89.66666667
4740;91.66666667
4760;83.33333333
4780;76.66666667
4800;78
4820;76
4840;76
4860;81.66666667
4880;82
4900;86
4920;101
4940;105
4960;100.6666667
4980;112
5000;123
5020;123.3333333
5040;122.3333333
5060;122.3333333
5080;119.3333333
5100;126
5120;125
5140;130
5160;129
5180;121
5200;110
5220;103
5240;109.6666667
5260;106.3333333
5280;93.66666667
5300;91.66666667
5320;81.66666667
5340;76.66666667
5360;75
5380;71
5400;65
5420;65.33333333
5440;64.66666667
5460;63.66666667
5480;64.66666667
5500;64.33333333
5520;56.66666667
5540;60.66666667
5560;72.66666667
5580;66.66666667
5600;67.66666667
5620;75.33333333
