x;y
920;15.7
940;15.8
960;16.7
980;17.6
1000;19.1
1020;21.1
1040;24.1
1060;26.3
1080;29.3
1100;32.1
1120;35.2
1140;38
1160;40.2
1180;44.6
1200;47.3
1220;50.3
1240;51.3
1260;52.4
1280;52.8
1300;52.3
1320;51.4
1340;50
1360;48
1380;45.6
1400;41.6
1420;38.3
1440;35
1460;31.4
1480;28.5
1500;25.5
1520;23.2
1540;21.1
1560;19.6
1580;18.8
1600;18.7
1620;19.7
1640;21.8
1660;23.9
1680;30.4
1700;34.1
1720;41
1740;47.2
1760;52.1
1780;59.9
1800;64.7
1820;71.3
1840;79.3
1860;87.5
1880;92.6
1900;97.8
1920;99.6
1940;100.3
1960;99.8
1980;98.4
2000;95.5
2020;91
2040;86
2060;78.7
2080;73.7
2100;64.7
2120;57.3
2140;46.5
2160;41.1
2180;33.6
2200;29.5
2220;25.3
2240;22.7
2260;21.7
2280;22.4
2300;23.8
2320;27.8
2340;31.3
2360;38.5
2380;52
2400;61.8
2420;71.8
2440;81.9
2460;92.8
2480;101.7
2500;112.9
2520;124.1
2540;134.6
2560;139.8
2580;148.9
2600;152.2
2620;155.5
2640;155.8
2660;154.8
2680;150.9
2700;145.9
2720;138.1
2740;132.1
2760;121.4
2780;113
2800;99.1
2820;87.1
2840;78
2860;63.3
2880;57.4
2900;45.4
2920;37.5
2940;31.9
2960;27.7
2980;26.2
3000;27.4
3020;35.4
3040;41.7
3060;52.2
3080;64.2
3100;78.4
3120;91.3
3140;103.2
3160;120
3180;136
3200;148.6
3220;161.8
3240;174.5
3260;183.3
3280;189.7
3300;198.8
3320;199.9
3340;201
3360;198.6
3380;195.1
3400;188
3420;169.9
3440;153.4
3460;143.4
3480;124.4
3500;103.1
3520;81.5
3540;66.6
3560;56.3
3580;46.5
3600;39
3620;32.7
3640;29.8
3660;29.3
3680;32.2
3700;34.8
3720;43.7
3740;51.8
3760;61.4
3780;74.3
3800;86.6
3820;101
3840;117.8
3860;132
3880;147
3900;157.4
3920;171.2
3940;180
3960;187.6
3980;193
4000;195.3
4020;196
4040;193.5
4060;188.7
4080;182.2
4100;172.8
4120;160
4140;146.7
4160;132.7
4180;119.5
4200;104
4220;91.5
4240;80.2
4260;64
4280;53.7
4300;43.7
4320;33.6
4340;27.9
4360;24.1
4380;22.4
4400;23
4420;25
4440;29.6
4460;36
4480;41.2
4500;50.8
4520;59.5
4540;69.5
4560;77.5
4580;87.4
4600;94
4620;101.5
4640;105.4
4660;106.7
4680;105.4
4700;102.7
4720;98.8
4740;95.7
4760;91.4
4780;83.7
4800;69.4
4820;40.5
4840;24.3
4860;20.2
4880;18
4900;17.2
